repo_path,status,error
scripts/landsat/utilities/auto_download_controlled_release_landsat_patches.py,PASS,
scripts/landsat/utilities/collapse_landsat_candidates_to_unique_overpasses.py,PASS,
scripts/landsat/qa/inspect_2021_landsat_flow_matches.py,PASS,
scripts/landsat/qa/inspect_frozen_landsat_pipeline.py,PASS,
scripts/landsat/qa/audit_landsat_modeling_readiness.py,PASS,
scripts/landsat/qa/audit_landsat_candidate_release_contamination.py,PASS,
scripts/landsat/qa/audit_all_landsat_pixel_duplicates.py,PASS,
scripts/landsat/qa/audit_landsat_negative_candidates.py,PASS,
scripts/landsat/qa/check_landsat_matched_negative_patches.py,PASS,
scripts/landsat/qa/inspect_landsat_before_features.py,PASS,
scripts/landsat/qa/inspect_landsat_negative_search_inputs.py,PASS,
scripts/landsat/qa/inspect_2022_landsat_release_intervals.py,PASS,
scripts/landsat/qa/audit_landsat_matched_negative_pairing.py,PASS,
scripts/landsat/qa/check_controlled_release_landsat_patches.py,PASS,
scripts/landsat/qa/audit_landsat_duplicate_rasters.py,PASS,
scripts/landsat/features/extract_landsat_temporal_anomaly_features.py,PASS,
scripts/landsat/features/extract_targeted_landsat_reviewed_features.py,PASS,
scripts/landsat/features/extract_ehrenberg_priority_landsat_features.py,PASS,
scripts/landsat/features/extract_landsat_patch_features.py,PASS,
scripts/landsat/dataset_building/build_landsat_v2_datasets.py,PASS,
scripts/landsat/dataset_building/build_evanston_landsat_release_manifest.py,PASS,
scripts/landsat/dataset_building/prepare_evanston_unique_landsat_overpasses.py,PASS,
scripts/landsat/dataset_building/finalize_landsat_positive_ground_truth.py,PASS,
scripts/landsat/dataset_building/build_2022_landsat_scene_label_review.py,PASS,
scripts/landsat/dataset_building/repair_landsat_confirmed_site_metadata.py,PASS,
scripts/landsat/dataset_building/rebuild_landsat_dataset_with_campaign_schedule.py,PASS,
scripts/landsat/dataset_building/build_final_confirmed_landsat_dataset.py,PASS,
scripts/landsat/dataset_building/make_controlled_release_landsat_dataset_table.py,PASS,
scripts/landsat/dataset_building/build_landsat_high_emission_background_manifest.py,PASS,
scripts/landsat/dataset_building/prepare_landsat89_methanefuse_zero_shot.py,PASS,
scripts/landsat/dataset_building/build_and_check_landsat_35_scene_benchmark.py,PASS,
scripts/landsat/dataset_building/prepare_landsat_mixed_label_review.py,PASS,
scripts/landsat/dataset_building/build_clean_unique_landsat_dataset.py,PASS,
scripts/landsat/dataset_building/prepare_landsat_selected_negative_download_manifest.py,PASS,
scripts/landsat/dataset_building/build_landsat_positive_release_inventory.py,PASS,
scripts/landsat/dataset_building/build_landsat_global_matched_negative_manifest.py,PASS,
scripts/landsat/dataset_building/build_s2_landsat_matched_eval.py,PASS,
scripts/landsat/analysis/analyze_landsat_loocv_errors.py,PASS,
scripts/landsat/acquisition/download_landsat_selected_matched_negatives.py,PASS,
scripts/landsat/acquisition/download_targeted_landsat_reviewed_scenes.py,PASS,
scripts/landsat/acquisition/download_ehrenberg_priority_landsat.py,PASS,
scripts/landsat/matching/search_landsat_matched_negative_candidates.py,PASS,
scripts/landsat/matching/resolve_landsat_existing_scene_matches.py,PASS,
scripts/landsat/matching/search_evanston_landsat_scenes_local.py,PASS,
scripts/landsat/matching/find_additional_evanston_landsat_events.py,PASS,
scripts/landsat/matching/search_landsat_casa_grande_expanded_candidates.py,PASS,
scripts/landsat/modeling/train_landsat_baseline_classifier.py,PASS,
scripts/landsat/modeling/evaluate_landsat_35_scene_grouped_baseline.py,PASS,
scripts/landsat/modeling/evaluate_landsat_temporal_anomaly_loso.py,PASS,
scripts/landsat/modeling/evaluate_landsat_temporal_context_only.py,PASS,
scripts/landsat/modeling/calibrate_landsat_site_baseline_and_evaluate.py,PASS,
scripts/landsat/modeling/evaluate_landsat_leave_one_site_out_v2.py,PASS,
scripts/landsat/modeling/evaluate_landsat_temporal_anomaly_grouped.py,PASS,
scripts/landsat/modeling/train_clean_landsat_baseline.py,PASS,
scripts/ghgsat/qa/audit_ghgsat_controlled_release_source.py,PASS,
scripts/ghgsat/dataset_building/build_ghgsat_observation_manifest.py,PASS,
scripts/stanford_controlled_release/utilities/summarize_stanford_landsat_sites.py,PASS,
scripts/stanford_controlled_release/utilities/merge_stanford_release_summaries.py,PASS,
scripts/stanford_controlled_release/qa/audit_ghgsat_stanford_timestamp_structure.py,PASS,
scripts/stanford_controlled_release/qa/audit_stanford_enmap_retry.py,PASS,
scripts/stanford_controlled_release/qa/audit_stanford_landsat_emit_enmap.py,PASS,
scripts/stanford_controlled_release/qa/inspect_stanford_files.py,PASS,
scripts/stanford_controlled_release/qa/audit_stanford_dataset.py,PASS,
scripts/stanford_controlled_release/acquisition/download_stanford_files.py,PASS,
scripts/stanford_controlled_release/acquisition/download_stanford_all_sensor.py,PASS,
scripts/stanford_controlled_release/acquisition/download_stanford_landsat_v3.py,PASS,
